SeniorCitizen,Partner,Dependents,tenure,PhoneService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,AvgMonthlySpend,ChargeRatio,TotalServices,HasInternetService,HasPhoneService,IsPaperlessBilling,HasPartner,HasDependents,FamilySize,IsMonthToMonth,RecencyScore,MonetaryValue,ServiceFrequency,EstimatedCLV,IsElectronicCheck,ServiceAdoptionRate,ChargesPerService,HasFiberOptic,NoInternetService,HasFullProtection,login_count_mean,login_count_std,login_count_sum,data_usage_gb_mean,data_usage_gb_max,call_minutes_mean,call_minutes_sum,support_tickets_sum,support_tickets_mean,support_calls_sum,late_payment_sum,feature_usage_score_mean,feature_usage_score_std,feature_usage_score_min,recent_login_avg,early_login_avg,engagement_trend,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_1-2 years,tenure_group_2-4 years,tenure_group_4-6 years,MonetaryTier_Medium,MonetaryTier_High,MonetaryTier_VIP
0,0,0,35,0,0,0,49.2,1701.65,47.268055555555556,0.028896132499339266,4,1,0,0,0,0,0,1,0.027777777777777776,1701.65,0.1111111111111111,0.0,1,0.5,9.84,0,0,0,6.857142857142857,3.5491743625049175,240,58.08376972452989,96.65019009717717,302.74337458327904,10596.018110414767,18,0.5142857142857142,19,0,45.450774577311336,23.883589671841886,5.990985728562256,5.0,8.333333333333334,-3.333333333333334,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,1,1,15,1,0,0,75.1,1151.55,71.971875,0.0651598629126719,3,1,1,0,1,1,2,1,0.0625,1151.55,0.1875,1126.5,0,0.375,18.775,1,0,0,6.866666666666666,4.356713483917938,103,45.46768810898983,74.95929505736174,311.21920796067127,4668.288119410069,8,0.5333333333333333,13,1,54.433571416285695,22.086372877235043,13.721151565787135,4.666666666666667,12.666666666666666,-7.999999999999999,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,1,13,0,2,0,40.55,590.35,42.167857142857144,0.06857191172740339,4,1,0,0,1,1,2,0,0.07142857142857142,590.35,0.2857142857142857,689.3499999999999,0,0.5,8.11,0,0,0,7.461538461538462,2.817072493901681,97,51.152439072602384,94.64631572087495,298.3699096810394,3878.8088258535126,10,0.7692307692307693,12,0,54.94339944326524,24.787312864786887,13.946367113622369,6.666666666666667,8.333333333333334,-1.666666666666667,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
0,1,0,26,1,2,1,73.5,1905.7,70.58148148148149,0.03854827712802224,6,1,1,1,1,0,1,0,0.037037037037037035,1905.7,0.2222222222222222,294.0,0,0.75,10.5,0,0,0,6.730769230769231,2.905962041151844,175,51.800677701271155,91.84132408220717,305.821640833541,7951.362661672065,16,0.6153846153846154,17,3,50.258088772313734,22.91479390073593,5.125178881483165,4.666666666666667,7.333333333333333,-2.666666666666666,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
0,1,1,1,1,0,0,44.55,44.55,22.275,0.9780461031833151,2,1,1,0,1,1,2,1,0.5,44.55,1.0,1291.9499999999998,1,0.25,14.85,0,0,0,8.0,0.0,8,54.24561463230163,54.24561463230163,95.36979344213998,95.36979344213998,4,4.0,3,0,31.555048352104066,0.0,31.555048352104066,8.0,8.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,66,1,2,1,79.5,5196.1,77.55373134328359,0.015296992553539474,7,1,1,1,0,1,1,0,0.014925373134328358,5196.1,0.1044776119402985,0.0,0,0.875,9.9375,0,0,0,7.318181818181818,3.9929133027598596,483,44.48191223144518,99.32972290736988,289.07932275757065,19079.235301999663,43,0.6515151515151515,39,5,48.767479420198704,22.65223920191674,5.269980817425274,2.6666666666666665,10.0,-7.333333333333334,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
0,0,0,1,1,0,0,19.8,19.8,9.9,0.9519230769230769,1,0,1,0,0,0,0,1,0.5,19.8,0.5,574.2,0,0.125,9.9,0,1,0,10.0,0.0,10,0.0,0.0,300.8908741796256,300.8908741796256,3,3.0,0,0,29.668584695993832,0.0,29.668584695993832,10.0,10.0,0.0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,0,40,1,0,0,56.6,2379.1,58.02682926829268,0.023780513423805723,3,1,1,0,1,0,1,1,0.024390243902439025,2379.1,0.07317073170731707,0.0,0,0.375,14.15,0,0,0,6.975,3.214450545224224,279,51.43846999610675,97.74106675502586,317.98195532405117,12719.278212962046,22,0.55,19,2,54.76904078341729,20.770599590013237,16.625993418059203,4.0,6.666666666666667,-2.666666666666667,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,1,0,65,1,2,1,59.8,3808.2,57.699999999999996,0.015698834400924077,4,1,1,1,1,0,1,0,0.015151515151515152,3808.2,0.06060606060606061,0.0,0,0.5,11.959999999999999,0,0,0,8.061538461538461,4.6933361105032585,524,51.93850159051868,96.36630987503551,317.4037106731283,20631.241193753336,28,0.4307692307692308,24,4,50.96653308648907,21.187752260576808,6.242429761436955,4.666666666666667,11.666666666666666,-6.999999999999999,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,60,1,1,0,80.55,4847.05,79.45983606557377,0.016614927651323726,6,1,1,0,0,0,0,0,0.01639344262295082,4847.05,0.09836065573770492,0.0,0,0.75,11.507142857142856,0,0,0,7.8,3.4972143878487456,468,54.09603455648826,94.73338927077768,294.66151739270333,17679.6910435622,37,0.6166666666666667,17,4,48.1960687532124,24.09234995785443,4.565417181757004,3.3333333333333335,10.0,-6.666666666666666,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
1,0,0,5,1,0,0,59.9,287.85,47.975,0.20737406958629043,5,1,1,0,0,0,0,1,0.16666666666666666,287.85,0.8333333333333334,1497.5,0,0.625,9.983333333333333,0,0,0,8.6,2.966479394838265,43,45.82164661630134,71.00861598881765,266.7944616925048,1333.9723084625239,7,1.4,4,0,38.602009031266945,25.616501716807804,1.7998464744281315,7.0,10.666666666666666,-3.666666666666666,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,5,1,0,1,49.4,232.55,38.75833333333333,0.21151787625776064,3,1,1,1,1,1,2,1,0.16666666666666666,232.55,0.5,1235.0,0,0.375,12.35,0,0,0,6.6,3.209361307176242,33,53.34892732620513,66.73121069319814,365.9558529201663,1829.7792646008315,7,1.4,5,0,61.02720742814156,25.15796741888838,32.12421278262846,4.666666666666667,8.666666666666666,-3.999999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,2,1,0,0,50.95,123.05,41.016666666666666,0.4107214832728739,3,1,1,0,0,0,0,1,0.3333333333333333,123.05,1.0,1426.6000000000001,0,0.375,12.7375,0,0,0,6.5,0.7071067811865476,13,37.602872417121894,43.55252415222614,379.97366680023833,759.9473336004767,6,3.0,4,0,17.261493044076857,20.09914360831932,3.049252302592012,6.5,6.5,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,30,1,0,0,67.6,2000.2,64.5225806451613,0.033779732160703575,6,1,1,0,1,1,2,1,0.03225806451612903,2000.2,0.1935483870967742,0.0,1,0.75,9.657142857142857,0,0,1,6.833333333333333,3.404695878193603,205,42.2044274859186,79.86335481811817,264.76007041200415,7942.802112360125,18,0.6,6,3,55.02628364663702,22.226433217728612,11.100964632453792,3.3333333333333335,9.0,-5.666666666666666,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
0,1,0,36,1,0,1,95.4,3474.2,93.89729729729729,0.02745165745856354,4,1,1,1,1,0,1,1,0.02702702702702703,3474.2,0.10810810810810811,0.0,1,0.5,19.080000000000002,1,0,0,7.5,4.039094665180022,270,47.53301950642438,79.92175907917365,317.1160565809081,11416.178036912692,23,0.6388888888888888,15,0,52.045536004957384,22.50101808247291,8.303386364084659,3.0,11.666666666666666,-8.666666666666666,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0,1,1,55,1,2,1,69.05,3842.6,68.61785714285715,0.01796492871266521,2,1,1,1,1,1,2,0,0.017857142857142856,3842.6,0.03571428571428571,0.0,0,0.25,23.016666666666666,1,0,0,7.472727272727273,3.824165585358773,411,47.155201377905634,107.46829978826284,292.06750476146897,16063.712761880792,37,0.6727272727272727,12,1,49.82669044232874,26.662185565954687,1.7875050008962616,4.333333333333333,10.666666666666666,-6.333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,31,1,0,1,84.75,2613.4,81.66875,0.03241661566707466,4,1,1,1,0,0,0,1,0.03125,2613.4,0.125,0.0,0,0.5,16.95,1,0,0,7.645161290322581,3.96272959037727,237,49.72760519134941,90.11159609383171,325.6331468504002,10094.627552362406,23,0.7419354838709677,12,2,44.811737197179305,24.085897129070258,9.002074075033345,6.333333333333333,9.666666666666666,-3.333333333333333,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
1,1,1,28,0,0,1,35.9,973.65,33.574137931034485,0.0368337351869902,2,1,0,1,1,1,2,1,0.034482758620689655,973.65,0.06896551724137931,71.8,1,0.25,11.966666666666667,0,0,0,7.142857142857143,4.696052603294607,200,48.42054690726068,91.05769949577828,302.46111101553055,8468.911108434855,26,0.9285714285714286,12,3,50.31719290783372,18.031856566773577,13.141445307408658,5.0,11.333333333333334,-6.333333333333334,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0,0,0,16,1,2,0,18.95,326.8,19.223529411764705,0.05780964002440512,1,0,1,0,0,0,0,0,0.058823529411764705,326.8,0.058823529411764705,265.3,0,0.125,9.475,0,1,0,6.875,2.3057898140695015,110,0.0,0.0,322.22442177289395,5155.590748366303,16,1.0,3,2,52.122992332342896,15.173794233148751,28.716254206932064,4.333333333333333,8.333333333333334,-4.000000000000001,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
